City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
80,80,Acarau,BR,2022-07-25 17:56:52,-2.8856,-40.12,86.2,74,52,18.01
81,81,Santa Fe,AR,2022-07-25 17:57:37,-31.6333,-60.7,80.98,51,63,8.01
82,82,Kapaa,US,2022-07-25 17:57:38,22.0752,-159.319,79.12,75,74,13.8
83,83,Tripoli,LY,2022-07-25 17:57:38,32.8752,13.1875,83.68,0,54,8.61
84,84,Vanimo,PG,2022-07-25 17:57:38,-2.6741,141.3028,76.66,96,91,4.61
85,85,Tomatlan,MX,2022-07-25 17:57:39,19.9333,-105.25,90.63,100,53,4.25
86,86,The Valley,AI,2022-07-25 17:57:35,18.217,-63.0578,87.66,20,70,19.57
87,87,Thompson,CA,2022-07-25 17:53:50,55.7435,-97.8558,59.16,100,88,3.44
88,88,Ribeira Grande,PT,2022-07-25 17:57:40,38.5167,-28.7,79.2,40,78,10.36
89,89,Saskylakh,RU,2022-07-25 17:57:40,71.9167,114.0833,66.97,97,68,6.76
90,90,Cockburn Town,TC,2022-07-25 17:57:40,21.4612,-71.1419,85.96,40,70,17.27
91,91,Mnogovershinnyy,RU,2022-07-25 17:57:41,53.9353,139.9242,53.73,93,92,5.19
92,92,Vestmanna,FO,2022-07-25 17:57:41,62.1564,-7.1664,47.32,100,76,12.66
93,93,Hamilton,US,2022-07-25 17:57:42,39.1834,-84.5333,85.15,100,67,4.0
94,94,Ponta Delgada,PT,2022-07-25 17:57:42,37.7333,-25.6667,75.92,20,83,11.5
95,95,Fairbanks,US,2022-07-25 17:57:43,64.8378,-147.7164,69.22,75,57,8.05
96,96,Nanortalik,GL,2022-07-25 17:57:43,60.1432,-45.2371,42.39,100,96,5.5
97,97,Geraldton,AU,2022-07-25 17:55:12,-28.7667,114.6,41.41,53,93,9.22
98,98,Qaanaaq,GL,2022-07-25 17:57:43,77.484,-69.3632,42.69,1,73,0.49
99,99,Coquimbo,CL,2022-07-25 17:57:44,-29.9533,-71.3436,56.93,100,67,2.3
100,100,Palmer,US,2022-07-25 17:57:44,42.1584,-72.3287,83.64,100,71,3.0
101,101,Aksarka,RU,2022-07-25 17:57:45,66.5606,67.7975,51.26,89,76,15.64
102,102,Zyryanka,RU,2022-07-25 17:57:45,65.75,150.85,55.18,63,55,9.84
103,103,Arona,ES,2022-07-25 17:57:45,28.0996,-16.681,77.72,0,61,13.8
104,104,Anadyr,RU,2022-07-25 17:57:46,64.75,177.4833,41.5,20,93,4.47
105,105,Plettenberg Bay,ZA,2022-07-25 17:57:46,-34.0527,23.3716,57.43,0,65,7.96
106,106,Fernie,CA,2022-07-25 17:55:50,49.5,-115.0687,74.08,83,33,3.98
107,107,Norwalk,US,2022-07-25 17:57:47,33.9022,-118.0817,87.01,40,75,5.01
108,108,Birao,CF,2022-07-25 17:57:47,10.2849,22.7882,74.97,86,92,1.57
109,109,Jiancheng,CN,2022-07-25 17:57:48,30.391,104.5491,78.84,39,87,2.77
110,110,Torbay,CA,2022-07-25 17:57:48,47.6666,-52.7314,83.17,75,54,16.11
111,111,Enid,US,2022-07-25 17:57:49,36.3956,-97.8784,105.98,40,26,5.75
112,112,Kaitangata,NZ,2022-07-25 17:57:49,-46.2817,169.8464,45.77,100,93,16.67
113,113,Morant Bay,JM,2022-07-25 17:57:49,17.8815,-76.4093,88.72,33,71,12.26
114,114,Belmonte,BR,2022-07-25 17:57:50,-15.8631,-38.8828,76.33,79,66,9.35
115,115,Yellowknife,CA,2022-07-25 17:57:50,62.456,-114.3525,64.92,75,63,19.57
116,116,Talavera,PH,2022-07-25 17:57:51,15.6167,120.9333,76.42,99,90,1.12
117,117,Butaritari,KI,2022-07-25 17:57:51,3.0707,172.7902,82.08,97,71,20.4
118,118,Calabozo,VE,2022-07-25 17:57:51,8.9242,-67.4293,84.88,88,65,6.15
119,119,Itoman,JP,2022-07-25 17:57:52,26.1247,127.6694,84.22,4,84,2.3
120,120,Mitsamiouli,KM,2022-07-25 17:57:52,-11.3847,43.2844,73.69,20,73,5.75
121,121,Faanui,PF,2022-07-25 17:57:53,-16.4833,-151.75,77.09,69,78,8.1
122,122,Koulikoro,ML,2022-07-25 17:57:53,14.0,-7.75,84.25,100,63,5.1
123,123,Souillac,MU,2022-07-25 17:57:53,-20.5167,57.5167,68.38,75,88,6.91
124,124,Hammerfest,NO,2022-07-25 17:57:54,70.6634,23.6821,57.65,75,82,9.22
125,125,Mataura,NZ,2022-07-25 17:57:54,-46.1927,168.8643,44.47,100,92,11.34
126,126,Haapiti,PF,2022-07-25 17:57:55,-17.5667,-149.8667,73.13,90,84,4.12
127,127,Dikson,RU,2022-07-25 17:57:55,73.5069,80.5464,43.86,100,100,20.09
128,128,Vao,NC,2022-07-25 17:57:56,-22.6667,167.4833,69.78,27,73,14.12
129,129,Puerto Ayora,EC,2022-07-25 17:57:56,-0.7393,-90.3518,78.76,92,90,8.01
130,130,New Norfolk,AU,2022-07-25 17:57:56,-42.7826,147.0587,53.1,100,88,1.7
131,131,Flinders,AU,2022-07-25 17:57:57,-34.5833,150.8552,54.37,88,90,4.0
132,132,Turukhansk,RU,2022-07-25 17:57:57,65.8167,87.9833,53.69,95,89,3.76
133,133,Kungurtug,RU,2022-07-25 17:57:59,50.5994,97.5228,42.73,11,93,2.33
134,134,Buala,SB,2022-07-25 17:57:59,-8.145,159.5921,79.5,26,84,9.04
135,135,Lugovskoy,RU,2022-07-25 17:57:59,56.9585,64.529,67.75,9,86,4.05
136,136,Kargasok,RU,2022-07-25 17:58:00,59.0556,80.8572,57.49,75,85,8.28
137,137,Cape Town,ZA,2022-07-25 17:55:34,-33.9258,18.4232,59.27,0,61,5.99
138,138,Baft,IR,2022-07-25 17:58:00,29.234,56.6057,76.35,98,38,5.55
139,139,Conakry,GN,2022-07-25 17:55:09,9.538,-13.6773,77.07,75,94,4.61
140,140,Bouillante,GP,2022-07-25 17:58:01,16.1304,-61.7692,87.03,18,68,15.55
141,141,Umm Lajj,SA,2022-07-25 17:58:01,25.0213,37.2685,86.32,1,62,4.18
142,142,Gushikawa,JP,2022-07-25 17:58:02,26.3544,127.8686,83.43,4,88,1.3
143,143,Bilma,NE,2022-07-25 17:58:02,18.6853,12.9164,98.83,10,11,10.47
144,144,Pacific Grove,US,2022-07-25 17:58:03,36.6177,-121.9166,63.01,60,92,4.0
145,145,Lebu,CL,2022-07-25 17:58:03,-37.6167,-73.65,54.45,100,83,26.66
146,146,Port Hedland,AU,2022-07-25 17:58:04,-20.3167,118.5667,60.85,0,48,10.36
147,147,Karratha,AU,2022-07-25 17:58:04,-20.7377,116.8463,66.34,0,45,9.4
148,148,Abha,SA,2022-07-25 17:58:04,18.2164,42.5053,64.22,75,82,9.22
149,149,Chippewa Falls,US,2022-07-25 17:58:05,44.9369,-91.3929,73.58,41,50,5.82
150,150,Deloraine,AU,2022-07-25 17:58:05,-41.5333,146.6667,50.36,100,15,2.84
151,151,Pitimbu,BR,2022-07-25 17:58:06,-7.4706,-34.8086,84.79,25,69,14.85
152,152,Avila,ES,2022-07-25 17:58:06,40.5833,-5.0,84.65,0,12,13.2
153,153,Nanga Eboko,CM,2022-07-25 17:58:06,4.6833,12.3667,69.82,96,98,2.86
154,154,Paamiut,GL,2022-07-25 17:58:07,61.994,-49.6678,43.68,6,90,3.62
155,155,Bethel,US,2022-07-25 17:58:07,41.3712,-73.414,79.11,98,40,14.83
156,156,Ostersund,SE,2022-07-25 17:58:08,63.1792,14.6357,61.25,40,100,11.5
157,157,Klaksvik,FO,2022-07-25 17:58:08,62.2266,-6.589,49.12,76,86,16.82
158,158,Bealanana,MG,2022-07-25 17:58:08,-14.55,48.7333,58.32,64,88,3.24
159,159,Pathein,MM,2022-07-25 17:58:09,16.7833,94.7333,79.47,34,89,4.29
160,160,Qui Nhon,VN,2022-07-25 17:58:09,13.7667,109.2333,79.03,98,84,3.91
161,161,Talipparamba,IN,2022-07-25 17:58:10,12.05,75.35,76.44,54,89,4.12
162,162,Kuching,MY,2022-07-25 17:58:10,1.55,110.3333,75.42,40,100,1.99
163,163,Khandyga,RU,2022-07-25 17:58:10,62.6667,135.6,57.88,83,87,2.64
